Mois,Ouest,Bassin Parisien,Nord Est,Centre Est,Sud Ouest,Sud Est
1/1/05,57,45,40,31,38,6
1/2/05,29,39,40,29,31,38
1/3/05,35,44,42,31,51,22
1/4/05,77,59,105,134,91,55
1/5/05,58,58,76,78,54,54
1/6/05,34,44,48,39,38,25
1/7/05,46,96,83,39,26,8
1/8/05,37,52,57,43,35,22
1/9/05,32,38,61,39,65,113
1/10/05,109,49,57,79,52,100
1/11/05,77,48,38,58,71,94
1/12/05,74,39,61,40,85,33
1/1/06,34,33,22,35,42,109
1/2/06,64,61,50,42,63,23
1/3/06,111,74,124,99,153,31
1/4/06,28,26,77,69,36,7
1/5/06,60,93,112,80,58,19
1/6/06,37,39,46,43,32,4
1/7/06,59,77,29,63,56,25
1/8/06,46,99,157,87,56,28
1/9/06,98,34,101,65,121,116
1/10/06,113,61,104,57,73,52
1/11/06,93,55,48,58,64,33
1/12/06,127,62,52,37,50,59
1/1/07,70,38,57,48,56,16
1/2/07,112,75,80,49,108,36
1/3/07,92,60,88,48,85,23
1/4/07,42,8,10,17,45,49
1/5/07,109,98,114,133,133,87
1/6/07,106,79,115,95,88,33
1/7/07,106,101,120,92,58,5
1/8/07,66,78,135,108,89,14
1/9/07,35,40,57,62,36,33
1/10/07,29,49,12,20,36,30
1/11/07,59,41,59,64,31,53
1/12/07,71,62,70,40,68,22
1/1/08,100,52,59,51,95,88
1/2/08,55,40,33,15,24,29
1/3/08,94,99,79,54,109,27
1/4/08,81,65,102,95,106,69
1/5/08,116,68,59,90,119,85
1/6/08,30,43,82,72,78,31
1/7/08,56,49,67,112,42,16
1/8/08,74,72,101,81,68,19
1/9/08,63,41,103,113,51,69
1/10/08,88,69,110,101,86,69
1/11/08,91,58,31,63,101,136
1/12/08,52,33,59,50,74,154
1/1/09,108,47,25,35,102,69
1/2/09,44,40,69,66,27,56
1/3/09,39,35,80,33,29,48
1/4/09,86,57,29,64,131,124
1/5/09,60,59,58,45,61,24
1/6/09,50,73,87,71,54,44
1/7/09,69,69,109,79,34,6
1/8/09,30,20,40,51,38,34
1/9/09,36,30,32,43,53,85
1/10/09,67,49,40,57,46,65
1/11/09,165,88,104,75,158,50
1/12/09,131,75,106,63,88,96
1/1/10,58,39,39,41,74,81
1/2/10,97,63,65,58,61,95
1/3/10,56,40,42,55,61,71
1/4/10,22,19,26,39,28,24
1/5/10,35,42,104,104,68,68
1/6/10,55,51,85,108,115,50
1/7/10,31,52,74,51,28,4
1/8/10,61,96,137,57,25,29
1/9/10,61,69,72,92,45,53
1/10/10,86,52,47,74,83,138
1/11/10,131,81,88,89,144,74
1/12/10,84,74,142,58,60,67
